Node A,Node B,Jaccard Coefficient,ID_A,Ideology_A,Decade_A,In_PIRUS_A,ID_B,Ideology_B,Decade_B,In_PIRUS_B,Connection Type
10988,8136,0.14285714285714285,10988,White Supremacist/Xenophobic,1990s,No,8136,White Supremacist/Xenophobic,1990s,No,Internal
10988,3689,0.125,10988,White Supremacist/Xenophobic,1990s,No,3689,White Supremacist/Xenophobic,1990s,Yes,Internal
10988,8137,0.16666666666666666,10988,White Supremacist/Xenophobic,1990s,No,8137,White Supremacist/Xenophobic,1990s,No,Internal
10988,3394,0.08333333333333333,10988,White Supremacist/Xenophobic,1990s,No,3394,White Supremacist/Xenophobic,1990s,No,Internal
10988,3656,0.16666666666666666,10988,White Supremacist/Xenophobic,1990s,No,3656,White Supremacist/Xenophobic,1990s,No,Internal
10988,3678,0.125,10988,White Supremacist/Xenophobic,1990s,No,3678,White Supremacist/Xenophobic,1990s,Yes,Internal
7958,3168,0.047619047619047616,7958,Anti-Abortion,1990s,No,3168,Anti-Abortion,1990s,Yes,Internal
3694,7719,0.0625,3694,White Supremacist/Xenophobic,2000s,Yes,7719,White Supremacist/Xenophobic,1990s,Yes,Internal
3694,4127,0.06666666666666667,3694,White Supremacist/Xenophobic,2000s,Yes,4127,White Supremacist/Xenophobic,2000s,Yes,Internal
3694,7207,0.21428571428571427,3694,White Supremacist/Xenophobic,2000s,Yes,7207,White Supremacist/Xenophobic,2000s,No,Internal
3694,7209,0.07142857142857142,3694,White Supremacist/Xenophobic,2000s,Yes,7209,White Supremacist/Xenophobic,2000s,No,Internal
3694,5419,0.14285714285714285,3694,White Supremacist/Xenophobic,2000s,Yes,5419,White Supremacist/Xenophobic,2000s,Yes,Internal
3694,8015,0.14285714285714285,3694,White Supremacist/Xenophobic,2000s,Yes,8015,White Supremacist/Xenophobic,1990s,No,Internal
7989,7990,1.0,7989,White Supremacist/Xenophobic,2000s,No,7990,White Supremacist/Xenophobic,2000s,No,Internal
3063,3060,0.16666666666666666,3063,Environmental/Animal Rights,2000s,Yes,3060,Environmental/Animal Rights,2000s,Yes,Internal
3063,7271,0.14285714285714285,3063,Environmental/Animal Rights,2000s,Yes,7271,Environmental/Animal Rights,2000s,No,Internal
4071,3377,0.3333333333333333,4071,White Supremacist/Xenophobic,2000s,Yes,3377,White Supremacist/Xenophobic,1990s,No,Internal
11002,1986,0.25,11002,Militia/Sovereign Citizen/Anti-Government,1960s,No,1986,Militia/Sovereign Citizen/Anti-Government,1960s,No,Internal
7619,7620,1.0,7619,Other,1970s,No,7620,Other,1970s,No,Internal
7619,5185,1.0,7619,Other,1970s,No,5185,Other,1970s,No,Internal
7619,5227,1.0,7619,Other,1970s,No,5227,Other,1970s,No,Internal
4426,8179,0.09090909090909091,4426,White Supremacist/Xenophobic,1970s,No,8179,White Supremacist/Xenophobic,1980s,No,Internal
4426,8177,0.09090909090909091,4426,White Supremacist/Xenophobic,1970s,No,8177,White Supremacist/Xenophobic,1980s,No,Internal
4426,4425,0.09090909090909091,4426,White Supremacist/Xenophobic,1970s,No,4425,White Supremacist/Xenophobic,1980s,No,Internal
4426,8178,0.09090909090909091,4426,White Supremacist/Xenophobic,1970s,No,8178,White Supremacist/Xenophobic,1980s,No,Internal
6594,1122,0.18181818181818182,6594,Jihadist,2010s,Yes,1122,Jihadist,2000s,Yes,Internal
6594,1125,0.2,6594,Jihadist,2010s,Yes,1125,Jihadist,2000s,Yes,Internal
6594,1123,0.18181818181818182,6594,Jihadist,2010s,Yes,1123,Jihadist,2000s,Yes,Internal
6594,6336,0.16666666666666666,6594,Jihadist,2010s,Yes,6336,Jihadist,2010s,Yes,Internal
6594,1113,0.1111111111111111,6594,Jihadist,2010s,Yes,1113,Jihadist,2000s,Yes,Internal
6594,9406,0.07692307692307693,6594,Jihadist,2010s,Yes,9406,Jihadist,2010s,Yes,Internal
6594,6074,0.05555555555555555,6594,Jihadist,2010s,Yes,6074,Jihadist,2010s,Yes,Internal
6594,1119,0.18181818181818182,6594,Jihadist,2010s,Yes,1119,Jihadist,2000s,Yes,Internal
6594,2048,0.09090909090909091,6594,Jihadist,2010s,Yes,2048,Jihadist,2010s,Yes,Internal
6594,6115,0.25,6594,Jihadist,2010s,Yes,6115,Jihadist,2000s,Yes,Internal
6594,6157,0.05263157894736842,6594,Jihadist,2010s,Yes,6157,Jihadist,2010s,Yes,Internal
6594,1112,0.16666666666666666,6594,Jihadist,2010s,Yes,1112,Jihadist,2000s,Yes,Internal
6594,1116,0.18181818181818182,6594,Jihadist,2010s,Yes,1116,Jihadist,2000s,Yes,Internal
6594,6184,0.125,6594,Jihadist,2010s,Yes,6184,Jihadist,2010s,Yes,Internal
6594,1131,0.3333333333333333,6594,Jihadist,2010s,Yes,1131,Jihadist,2000s,Yes,Internal
6594,6128,0.2,6594,Jihadist,2010s,Yes,6128,Jihadist,2000s,Yes,Internal
6594,1126,0.2,6594,Jihadist,2010s,Yes,1126,Jihadist,2000s,Yes,Internal
6594,6180,0.2,6594,Jihadist,2010s,Yes,6180,Jihadist,2010s,Yes,Internal
6594,1114,0.2,6594,Jihadist,2010s,Yes,1114,Jihadist,2000s,Yes,Internal
6594,1130,0.1,6594,Jihadist,2010s,Yes,1130,Jihadist,2000s,Yes,Internal
6594,1117,0.2,6594,Jihadist,2010s,Yes,1117,Jihadist,2000s,Yes,Internal
6594,2237,0.2,6594,Jihadist,2010s,Yes,2237,Jihadist,2000s,Yes,Internal
6594,6121,0.14285714285714285,6594,Jihadist,2010s,Yes,6121,Jihadist,2000s,Yes,Internal
6594,1118,0.16666666666666666,6594,Jihadist,2010s,Yes,1118,Jihadist,2000s,Yes,Internal
6594,6146,0.25,6594,Jihadist,2010s,Yes,6146,Jihadist,2010s,Yes,Internal
6594,6159,0.14285714285714285,6594,Jihadist,2010s,Yes,6159,Jihadist,2010s,Yes,Internal
6594,2067,0.3333333333333333,6594,Jihadist,2010s,Yes,2067,Jihadist,2010s,Yes,Internal
6594,2233,0.2222222222222222,6594,Jihadist,2010s,Yes,2233,Jihadist,2000s,Yes,Internal
6594,1135,0.2,6594,Jihadist,2010s,Yes,1135,Jihadist,2010s,Yes,Internal
8021,5685,0.1,8021,White Supremacist/Xenophobic,1960s,No,5685,White Supremacist/Xenophobic,1990s,Yes,Internal
9961,10474,0.125,9961,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10474,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
9961,10584,0.125,9961,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10584,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
7107,1122,0.0625,7107,Jihadist,2010s,No,1122,Jihadist,2000s,Yes,Internal
7107,6095,0.1111111111111111,7107,Jihadist,2010s,No,6095,Jihadist,2010s,Yes,Internal
7107,6336,0.1,7107,Jihadist,2010s,No,6336,Jihadist,2010s,Yes,Internal
7107,6171,0.05555555555555555,7107,Jihadist,2010s,No,6171,Jihadist,2010s,Yes,Internal
7107,6074,0.15,7107,Jihadist,2010s,No,6074,Jihadist,2010s,Yes,Internal
7107,6157,0.09090909090909091,7107,Jihadist,2010s,No,6157,Jihadist,2010s,Yes,Internal
7107,6156,0.05555555555555555,7107,Jihadist,2010s,No,6156,Jihadist,2010s,Yes,Internal
7107,6155,0.1111111111111111,7107,Jihadist,2010s,No,6155,Jihadist,2010s,Yes,Internal
7107,1121,0.04,7107,Jihadist,2010s,No,1121,Jihadist,2000s,Yes,Internal
7107,6326,0.05,7107,Jihadist,2010s,No,6326,Jihadist,2010s,Yes,Internal
7107,6152,0.05555555555555555,7107,Jihadist,2010s,No,6152,Jihadist,2010s,Yes,Internal
7107,6154,0.1111111111111111,7107,Jihadist,2010s,No,6154,Jihadist,2010s,Yes,Internal
7107,6039,0.14285714285714285,7107,Jihadist,2010s,No,6039,Jihadist,2010s,Yes,Internal
7107,6075,0.1111111111111111,7107,Jihadist,2010s,No,6075,Jihadist,2010s,Yes,Internal
7107,6153,0.10526315789473684,7107,Jihadist,2010s,No,6153,Jihadist,2010s,Yes,Internal
1122,7082,0.06666666666666667,1122,Jihadist,2000s,Yes,7082,Jihadist,2010s,No,Internal
1122,6336,0.07692307692307693,1122,Jihadist,2000s,Yes,6336,Jihadist,2010s,Yes,Internal
1122,1115,0.043478260869565216,1122,Jihadist,2000s,Yes,1115,Jihadist,2010s,Yes,Internal
1122,6074,0.08333333333333333,1122,Jihadist,2000s,Yes,6074,Jihadist,2010s,Yes,Internal
1122,6115,0.29411764705882354,1122,Jihadist,2000s,Yes,6115,Jihadist,2000s,Yes,Internal
1122,1112,0.10526315789473684,1122,Jihadist,2000s,Yes,1112,Jihadist,2000s,Yes,Internal
1122,1116,0.05263157894736842,1122,Jihadist,2000s,Yes,1116,Jihadist,2000s,Yes,Internal
1122,6184,0.06666666666666667,1122,Jihadist,2000s,Yes,6184,Jihadist,2010s,Yes,Internal
1122,1131,0.07142857142857142,1122,Jihadist,2000s,Yes,1131,Jihadist,2000s,Yes,Internal
1122,6128,0.08333333333333333,1122,Jihadist,2000s,Yes,6128,Jihadist,2000s,Yes,Internal
1122,6180,0.08333333333333333,1122,Jihadist,2000s,Yes,6180,Jihadist,2010s,Yes,Internal
1122,1114,0.05555555555555555,1122,Jihadist,2000s,Yes,1114,Jihadist,2000s,Yes,Internal
1122,7108,0.0625,1122,Jihadist,2000s,Yes,7108,Jihadist,2010s,No,Internal
1122,1117,0.05555555555555555,1122,Jihadist,2000s,Yes,1117,Jihadist,2000s,Yes,Internal
1122,6412,0.03571428571428571,1122,Jihadist,2000s,Yes,6412,Jihadist,2010s,Yes,Internal
1122,6365,0.0625,1122,Jihadist,2000s,Yes,6365,Jihadist,2010s,No,Internal
1122,CO0007,0.06666666666666667,1122,Jihadist,2000s,Yes,CO0007,Jihadist,2010s,No,Internal
1122,2237,0.05555555555555555,1122,Jihadist,2000s,Yes,2237,Jihadist,2000s,Yes,Internal
1122,6121,0.07142857142857142,1122,Jihadist,2000s,Yes,6121,Jihadist,2000s,Yes,Internal
1122,1118,0.05,1122,Jihadist,2000s,Yes,1118,Jihadist,2000s,Yes,Internal
1122,6146,0.09090909090909091,1122,Jihadist,2000s,Yes,6146,Jihadist,2010s,Yes,Internal
1122,6159,0.07142857142857142,1122,Jihadist,2000s,Yes,6159,Jihadist,2010s,Yes,Internal
1122,2067,0.25,1122,Jihadist,2000s,Yes,2067,Jihadist,2010s,Yes,Internal
1122,2233,0.058823529411764705,1122,Jihadist,2000s,Yes,2233,Jihadist,2000s,Yes,Internal
1122,1135,0.08333333333333333,1122,Jihadist,2000s,Yes,1135,Jihadist,2010s,Yes,Internal
1122,6039,0.1,1122,Jihadist,2000s,Yes,6039,Jihadist,2010s,Yes,Internal
4029,3134,0.16666666666666666,4029,Anti-Abortion,1990s,Yes,3134,Anti-Abortion,1980s,Yes,Internal
4029,3178,0.3333333333333333,4029,Anti-Abortion,1990s,Yes,3178,Anti-Abortion,2000s,Yes,Internal
12047,1309,0.2,12047,White Supremacist/Xenophobic,2000s,No,1309,White Supremacist/Xenophobic,2000s,No,Internal
4159,4163,0.5,4159,Environmental/Animal Rights,1990s,Yes,4163,Environmental/Animal Rights,2000s,Yes,Internal
4159,4146,0.3333333333333333,4159,Environmental/Animal Rights,1990s,Yes,,,,,External
4159,4168,1.0,4159,Environmental/Animal Rights,1990s,Yes,,,,,External
3012,4148,0.42857142857142855,3012,Environmental/Animal Rights,2000s,No,4148,Environmental/Animal Rights,2000s,Yes,Internal
3012,3083,0.8,3012,Environmental/Animal Rights,2000s,No,3083,Environmental/Animal Rights,2000s,No,Internal
10243,12036,0.5,10243,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,12036,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
7365,5630,0.1,7365,White Supremacist/Xenophobic,1980s,No,5630,Conspiracy Theory,1960s,Yes,External
10231,10391,0.25,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10391,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,11084,0.06666666666666667,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,11084,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,10280,0.1875,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10280,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,10250,0.9375,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10250,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,10721,0.058823529411764705,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10721,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,10390,0.1875,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10390,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,10720,0.058823529411764705,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10720,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,10397,0.8333333333333334,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10397,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,10604,0.25,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10604,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,10500,0.3333333333333333,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10500,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10231,12787,0.058823529411764705,10231,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,12787,Militia/Sovereign Citizen/Anti-Government,2020s,No,Internal
8006,3990,0.25,8006,Militia/Sovereign Citizen/Anti-Government,2000s,No,3990,Militia/Sovereign Citizen/Anti-Government,2000s,Yes,Internal
6286,3230,0.1,6286,Anti-Abortion,1980s,No,3230,Anti-Abortion,1980s,Yes,Internal
4626,4020,0.05263157894736842,4626,Militia/Sovereign Citizen/Anti-Government,1990s,Yes,4020,Militia/Sovereign Citizen/Anti-Government,1990s,Yes,Internal
4626,4045,0.058823529411764705,4626,Militia/Sovereign Citizen/Anti-Government,1990s,Yes,4045,Militia/Sovereign Citizen/Anti-Government,1990s,No,Internal
4626,5000,0.041666666666666664,4626,Militia/Sovereign Citizen/Anti-Government,1990s,Yes,5000,Militia/Sovereign Citizen/Anti-Government,1990s,Yes,Internal
5686,2276,0.3333333333333333,5686,Other,1970s,Yes,2276,Other,1970s,No,Internal
5686,2046,0.3333333333333333,5686,Other,1970s,Yes,2046,Other,1970s,No,Internal
4659,4664,1.0,4659,Jihadist,2000s,No,4664,Jihadist,2000s,No,Internal
4659,4662,0.5,4659,Jihadist,2000s,No,4662,Jihadist,2000s,No,Internal
4659,4660,1.0,4659,Jihadist,2000s,No,4660,Jihadist,2000s,No,Internal
4659,4665,1.0,4659,Jihadist,2000s,No,4665,Jihadist,2000s,No,Internal
4659,4666,1.0,4659,Jihadist,2000s,No,4666,Jihadist,2000s,No,Internal
5035,4085,0.05,5035,White Supremacist/Xenophobic,1960s,Yes,4085,White Supremacist/Xenophobic,1960s,Yes,Internal
5035,5791,0.10526315789473684,5035,White Supremacist/Xenophobic,1960s,Yes,5791,White Supremacist/Xenophobic,1960s,No,Internal
5035,4445,0.037037037037037035,5035,White Supremacist/Xenophobic,1960s,Yes,4445,White Supremacist/Xenophobic,1980s,Yes,Internal
7986,3441,0.625,7986,White Supremacist/Xenophobic,2000s,No,3441,White Supremacist/Xenophobic,2000s,Yes,Internal
7986,3890,0.625,7986,White Supremacist/Xenophobic,2000s,No,3890,White Supremacist/Xenophobic,2000s,Yes,Internal
7986,3403,0.625,7986,White Supremacist/Xenophobic,2000s,No,3403,White Supremacist/Xenophobic,2000s,No,Internal
7986,10033,0.625,7986,White Supremacist/Xenophobic,2000s,No,10033,White Supremacist/Xenophobic,2000s,No,Internal
4360,5088,0.25,4360,White Supremacist/Xenophobic,1980s,No,5088,White Supremacist/Xenophobic,1980s,Yes,Internal
6001,1130,0.125,6001,Jihadist,2010s,Yes,1130,Jihadist,2000s,Yes,Internal
5649,12082,0.045454545454545456,5649,Black Nationalist/Separatist,1970s,Yes,12082,Black Nationalist/Separatist,1970s,No,Internal
5649,12081,0.045454545454545456,5649,Black Nationalist/Separatist,1970s,Yes,12081,Black Nationalist/Separatist,1970s,No,Internal
5649,5644,0.06666666666666667,5649,Black Nationalist/Separatist,1970s,Yes,5644,Black Nationalist/Separatist,1970s,No,Internal
5649,12080,0.045454545454545456,5649,Black Nationalist/Separatist,1970s,Yes,12080,Black Nationalist/Separatist,1970s,No,Internal
5649,4800,0.05555555555555555,5649,Black Nationalist/Separatist,1970s,Yes,4800,Other,1970s,Yes,External
5649,12084,0.047619047619047616,5649,Black Nationalist/Separatist,1970s,Yes,12084,Black Nationalist/Separatist,1970s,No,Internal
4664,4662,0.5,4664,Jihadist,2000s,No,4662,Jihadist,2000s,No,Internal
4664,4660,1.0,4664,Jihadist,2000s,No,4660,Jihadist,2000s,No,Internal
4664,4665,1.0,4664,Jihadist,2000s,No,4665,Jihadist,2000s,No,Internal
4664,4666,1.0,4664,Jihadist,2000s,No,4666,Jihadist,2000s,No,Internal
10948,7652,0.125,10948,White Supremacist/Xenophobic,2010s,Yes,7652,White Supremacist/Xenophobic,2010s,No,Internal
10948,10950,0.5,10948,White Supremacist/Xenophobic,2010s,Yes,10950,White Supremacist/Xenophobic,2010s,No,Internal
10948,6970,0.25,10948,White Supremacist/Xenophobic,2010s,Yes,6970,White Supremacist/Xenophobic,2010s,Yes,Internal
1025,1097,0.13333333333333333,1025,Jihadist,2000s,Yes,1097,Jihadist,2000s,Yes,Internal
1025,1144,0.05555555555555555,1025,Jihadist,2000s,Yes,1144,Jihadist,2000s,Yes,Internal
1025,1095,0.07142857142857142,1025,Jihadist,2000s,Yes,1095,Jihadist,2000s,Yes,Internal
11018,5564,0.08333333333333333,11018,Anarchist/Anti-Capitalist,1970s,No,5564,Anarchist/Anti-Capitalist,1970s,Yes,Internal
2124,1176,0.125,2124,Jihadist,2010s,Yes,1176,Jihadist,2000s,Yes,Internal
2124,1179,0.125,2124,Jihadist,2010s,Yes,1179,Jihadist,2000s,Yes,Internal
2124,1177,0.125,2124,Jihadist,2010s,Yes,1177,Jihadist,2000s,No,Internal
2124,1175,0.125,2124,Jihadist,2010s,Yes,1175,Jihadist,2000s,Yes,Internal
2124,1174,0.125,2124,Jihadist,2010s,Yes,1174,Jihadist,2000s,Yes,Internal
2124,1181,0.125,2124,Jihadist,2010s,Yes,1181,Jihadist,2000s,Yes,Internal
2124,1178,0.125,2124,Jihadist,2010s,Yes,1178,Jihadist,2000s,Yes,Internal
6108,1048,0.2857142857142857,6108,Jihadist,2000s,Yes,1048,Jihadist,2000s,Yes,Internal
5721,5696,0.07692307692307693,5721,Other,1970s,Yes,5696,Other,1970s,Yes,Internal
5721,5762,0.125,5721,Other,1970s,Yes,5762,Other,1970s,Yes,Internal
5721,4754,0.125,5721,Other,1970s,Yes,4754,Other,1970s,No,Internal
5721,5697,0.07692307692307693,5721,Other,1970s,Yes,5697,Other,1970s,Yes,Internal
5721,5732,0.125,5721,Other,1970s,Yes,5732,Other,1970s,Yes,Internal
5721,5740,0.125,5721,Other,1970s,Yes,5740,Other,1970s,Yes,Internal
5721,5722,1.0,5721,Other,1970s,Yes,5722,Other,1970s,Yes,Internal
5721,5700,0.125,5721,Other,1970s,Yes,5700,Other,1970s,Yes,Internal
5137,7333,0.0625,5137,Other,1980s,Yes,7333,Black Nationalist/Separatist,1970s,No,External
5137,5102,0.08333333333333333,5137,Other,1980s,Yes,5102,White Supremacist/Xenophobic,1980s,Yes,External
5137,11009,0.08333333333333333,5137,Other,1980s,Yes,11009,Black Nationalist/Separatist,1970s,No,External
5137,7332,0.058823529411764705,5137,Other,1980s,Yes,7332,Black Nationalist/Separatist,1970s,No,External
5137,7331,0.0625,5137,Other,1980s,Yes,7331,Black Nationalist/Separatist,1970s,No,External
5137,5054,0.08333333333333333,5137,Other,1980s,Yes,5054,White Supremacist/Xenophobic,1980s,No,External
5137,11010,0.06666666666666667,5137,Other,1980s,Yes,11010,Black Nationalist/Separatist,1970s,No,External
5137,7335,0.06666666666666667,5137,Other,1980s,Yes,7335,Black Nationalist/Separatist,1970s,No,External
1046,7027,0.4,1046,Jihadist,2000s,Yes,7027,Jihadist,2000s,No,Internal
1046,1048,0.3333333333333333,1046,Jihadist,2000s,Yes,1048,Jihadist,2000s,Yes,Internal
7696,10983,0.4,7696,White Supremacist/Xenophobic,1990s,Yes,10983,White Supremacist/Xenophobic,2000s,No,Internal
7696,3069,0.4,7696,White Supremacist/Xenophobic,1990s,Yes,3069,White Supremacist/Xenophobic,2000s,No,Internal
7696,3394,0.1,7696,White Supremacist/Xenophobic,1990s,Yes,3394,White Supremacist/Xenophobic,1990s,No,Internal
7696,4115,0.06666666666666667,7696,White Supremacist/Xenophobic,1990s,Yes,4115,White Supremacist/Xenophobic,1990s,Yes,Internal
10952,3371,1.0,10952,Black Nationalist/Separatist,1990s,No,3371,Black Nationalist/Separatist,1990s,No,Internal
CO0013,CO0012,1.0,CO0013,Jihadist,2020s,No,CO0012,Jihadist,2020s,No,Internal
CO0013,9964,1.0,CO0013,Jihadist,2020s,No,9964,Jihadist,2020s,Yes,Internal
8213,8216,0.16666666666666666,8213,White Supremacist/Xenophobic,1960s,No,8216,Militia/Sovereign Citizen/Anti-Government,1960s,No,External
8213,5786,0.07692307692307693,8213,White Supremacist/Xenophobic,1960s,No,5786,White Supremacist/Xenophobic,1960s,Yes,Internal
8213,5027,0.125,8213,White Supremacist/Xenophobic,1960s,No,5027,White Supremacist/Xenophobic,1960s,Yes,Internal
8213,5820,0.1,8213,White Supremacist/Xenophobic,1960s,No,5820,White Supremacist/Xenophobic,1960s,No,Internal
2099,9403,1.0,2099,Black Nationalist/Separatist,1970s,No,9403,Black Nationalist/Separatist,1970s,No,Internal
2099,4869,0.5,2099,Black Nationalist/Separatist,1970s,No,4869,Other,1970s,Yes,External
9445,1007,0.25,9445,Jihadist,1990s,No,1007,Jihadist,1990s,No,Internal
10351,10050,0.1111111111111111,10351,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10050,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10351,10102,0.14285714285714285,10351,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10102,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10351,10083,0.1,10351,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10083,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10351,10410,0.14285714285714285,10351,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10410,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
7213,3522,0.125,7213,White Supremacist/Xenophobic,2000s,No,3522,White Supremacist/Xenophobic,2000s,Yes,Internal
7213,7214,1.0,7213,White Supremacist/Xenophobic,2000s,No,7214,White Supremacist/Xenophobic,2000s,No,Internal
7213,7212,0.5,7213,White Supremacist/Xenophobic,2000s,No,7212,White Supremacist/Xenophobic,2000s,No,Internal
9901,7098,0.14285714285714285,9901,White Supremacist/Xenophobic,2020s,Yes,7098,White Supremacist/Xenophobic,2010s,Yes,Internal
9901,2826,0.25,9901,White Supremacist/Xenophobic,2020s,Yes,2826,White Supremacist/Xenophobic,2010s,Yes,Internal
9901,6785,0.14285714285714285,9901,White Supremacist/Xenophobic,2020s,Yes,6785,White Supremacist/Xenophobic,2020s,Yes,Internal
7255,3847,0.09090909090909091,7255,Militia/Sovereign Citizen/Anti-Government,1990s,No,3847,Anti-Abortion,1990s,Yes,External
7255,3668,0.16666666666666666,7255,Militia/Sovereign Citizen/Anti-Government,1990s,No,3668,Militia/Sovereign Citizen/Anti-Government,2000s,Yes,Internal
10336,10165,0.1111111111111111,10336,White Supremacist/Xenophobic,2020s,Yes,10165,White Supremacist/Xenophobic,2020s,Yes,Internal
10394,10391,0.2222222222222222,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10391,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10394,11084,0.058823529411764705,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,11084,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10394,10280,0.16666666666666666,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10280,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10394,10721,0.05263157894736842,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10721,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10394,10390,0.23529411764705882,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10390,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10394,10720,0.05263157894736842,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10720,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10394,10604,0.2222222222222222,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10604,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10394,10500,0.3684210526315789,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,10500,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,Internal
10394,12787,0.05263157894736842,10394,Militia/Sovereign Citizen/Anti-Government,2020s,Yes,12787,Militia/Sovereign Citizen/Anti-Government,2020s,No,Internal
11021,5564,0.08333333333333333,11021,Anarchist/Anti-Capitalist,1970s,No,5564,Anarchist/Anti-Capitalist,1970s,Yes,Internal
4476,4463,0.14285714285714285,4476,White Supremacist/Xenophobic,1980s,No,4463,White Supremacist/Xenophobic,1980s,No,Internal
4476,4461,0.038461538461538464,4476,White Supremacist/Xenophobic,1980s,No,4461,White Supremacist/Xenophobic,1960s,Yes,Internal
4476,4427,1.0,4476,White Supremacist/Xenophobic,1980s,No,4427,White Supremacist/Xenophobic,1980s,No,Internal
CO0027,CO0030,0.25,CO0027,White Supremacist/Xenophobic,1950s,No,CO0030,White Supremacist/Xenophobic,1950s,No,Internal
CO0027,CO0031,0.2,CO0027,White Supremacist/Xenophobic,1950s,No,CO0031,White Supremacist/Xenophobic,1950s,No,Internal
CO0027,CO0029,0.3333333333333333,CO0027,White Supremacist/Xenophobic,1950s,No,CO0029,White Supremacist/Xenophobic,1950s,No,Internal
CO0027,CO0032,0.16666666666666666,CO0027,White Supremacist/Xenophobic,1950s,No,CO0032,White Supremacist/Xenophobic,1950s,No,Internal
CO0027,CO0028,0.5,CO0027,White Supremacist/Xenophobic,1950s,No,CO0028,White Supremacist/Xenophobic,1950s,No,Internal
9903,7098,0.14285714285714285,9903,White Supremacist/Xenophobic,2020s,Yes,7098,White Supremacist/Xenophobic,2010s,Yes,Internal
9903,1284,0.16666666666666666,9903,White Supremacist/Xenophobic,2020s,Yes,1284,White Supremacist/Xenophobic,2020s,Yes,Internal
9903,9717,0.16666666666666666,9903,White Supremacist/Xenophobic,2020s,Yes,9717,White Supremacist/Xenophobic,2020s,Yes,Internal
9903,2826,0.25,9903,White Supremacist/Xenophobic,2020s,Yes,2826,White Supremacist/Xenophobic,2010s,Yes,Internal
9903,10893,0.25,9903,White Supremacist/Xenophobic,2020s,Yes,10893,White Supremacist/Xenophobic,2020s,Yes,Internal
5838,5411,0.75,5838,White Supremacist/Xenophobic,2000s,Yes,5411,White Supremacist/Xenophobic,2000s,Yes,Internal
5838,5842,0.2857142857142857,5838,White Supremacist/Xenophobic,2000s,Yes,5842,White Supremacist/Xenophobic,2000s,Yes,Internal
5838,5846,0.3,5838,White Supremacist/Xenophobic,2000s,Yes,5846,White Supremacist/Xenophobic,2000s,Yes,Internal
